raison,adresse_1,adresses_2,catégorie,produit,quantité,prix unitaire,date
Ferrand Excel Elec Spécialiste,91 boulevard Lorraine Rivière,87871 Morin,Capteur,Capteur de pression,23,12.1,2021-01-23
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microcontrôleur,15,26.97,2021-01-23
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Capteur,Capteur optique,22,14.79,2021-01-23
Julien Excel Dépanneur Pièces,5 chemin Alexandrie Valette,55253 Saint Corinne-les-Bains,Composants servant d'interface humaine,LED,15,3.83,2021-01-23
Gallet Appolo Elec Composants,42 rue Morel,83028 Fouquet,Composants d'électroniques numériques,Quartz,22,18.01,2021-01-23
Lucas Appolo Dépanneur Pro,36 chemin Laure Mace,46414 Chauveau,Composants servant d'interface humaine,LED,27,3.75,2021-01-23
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants d'électroniques numériques,Quartz,17,16.64,2021-01-23
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Buzzer,7,31.83,2021-01-24
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants servant d'interface humaine,Haut-parleur,29,14.84,2021-01-24
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Roue codeuse,41,2.31,2021-01-24
Roger Appolo Électricité Pro,903 rue de Laporte,87927 Martinez,Composants servant d'interface humaine,Haut-parleur,20,15.14,2021-01-24
Barthelemy Appolo Dépanneur Pièces,25 avenue Gimenez,95153 CharlesVille,Composants servant d'interface humaine,Afficheur,2,26.28,2021-01-24
Samson Appolo Dépanneur 2000,3 boulevard Bouvet,25566 Charpentier,Composants d'électroniques numériques,Mémoire informatique,12,,2021-01-25
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Memristor,25,24.43,2021-01-25
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Commutateur,23,2.53,2021-01-25
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants servant d'interface humaine,Roue codeuse,10,2.41,2021-01-25
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Interrupteur,11,9.03,2021-01-25
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants d'électroniques analogiques,Résistance,1,22.5,2021-01-25
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Composants servant d'interface humaine,Roue codeuse,5,2.51,2021-01-25
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Diode,9,24.02,2021-01-25
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Commutateur,24,2.53,2021-01-25
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,41,15.99,2021-01-26
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants servant d'interface humaine,Interrupteur,24,9.21,2021-01-26
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Capteur,Thermistance,23,21.28,2021-01-26
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,Interrupteur,5,9.39,2021-01-26
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Commutateur,40,2.53,2021-01-26
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques numériques,Opto-coupleur,2,31.17,2021-01-26
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Capteur,Capteur de luminosité,26,13.92,2021-01-26
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants d'électroniques analogiques,Condensateur,32,33.64,2021-01-26
Devaux Excel Elec Plus,95 avenue Lacombe,39349 Dias-sur-Martel,Composants d'électroniques numériques,Microcontrôleur,19,28.62,2021-01-26
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants servant d'interface humaine,Interrupteur,49,9.39,2021-01-26
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Mémoire informatique,43,21.95,2021-01-27
Marty Confiance Dépanneur Pro,69 avenue de Da Silva,88501 AdamBourg,Composants d'électroniques analogiques,Photocoupleur,45,10.28,2021-01-27
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants servant d'interface humaine,Interrupteur,40,9.39,2021-01-27
Marechal Appolo Électricité Composants,4 rue de Perrot,79006 Tessier,Composants servant d'interface humaine,Roue codeuse,33,2.51,2021-01-27
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Capteur de champ magnétique,12,15.28,2021-01-27
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Opto-coupleur,21,30.56,2021-01-27
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants d'électroniques analogiques,Memristor,42,25.42,2021-01-27
Adam Excel Dépanneur Pièces,50 rue Gomes,76608 Hoareau,Composants servant d'interface humaine,LED,48,4.07,2021-01-27
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microcontrôleur,19,28.06,2021-01-27
Gosselin Confiance Électricité Composants,31 chemin de Benard,24506 Gilles,Composants d'électroniques numériques,Mémoire informatique,27,25.72,2021-01-28
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants d'électroniques analogiques,Photocoupleur,9,10.28,2021-01-28
Pineau Appolo Dépanneur Pièces,15 rue de Bonnet,56641 Pages,Composants servant d'interface humaine,LED,46,4.07,2021-01-28
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques numériques,Quartz,41,16.64,2021-01-28
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Diode,38,24.02,2021-01-28
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Composants servant d'interface humaine,Buzzer,21,31.83,2021-01-28
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Commutateur,1,2.53,2021-01-28
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur optique,46,14.22,2021-01-28
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Capteur,Capteur de température,19,26.41,2021-01-29
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques analogiques,Memristor,6,24.43,2021-01-29
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants d'électroniques analogiques,Inductance,5,12.05,2021-01-29
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Potentiomètre,9,7.81,2021-01-29
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de pression,6,12.1,2021-01-29
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques analogiques,Résistance,28,22.5,2021-01-29
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Capteur,Capteur de luminosité,45,13.92,2021-01-29
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Commutateur,32,2.53,2021-01-29
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants d'électroniques numériques,Microprocesseur,38,6.51,2021-01-29
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Composants servant d'interface humaine,Potentiomètre,47,8.13,2021-01-29
Adam Excel Dépanneur Pièces,50 rue Gomes,76608 Hoareau,Composants d'électroniques analogiques,Diode,12,24.02,2021-01-29
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microprocesseur,22,6.38,2021-01-30
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Quartz,23,15.99,2021-01-30
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Composants servant d'interface humaine,Interrupteur,37,9.39,2021-01-30
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques numériques,Microcontrôleur,40,28.62,2021-01-30
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Capteur,Capteur de pression,43,12.1,2021-01-30
Blondel Excel Électricité ++,85 boulevard de Gay,00378 Saint Paulboeuf,Composants d'électroniques numériques,Microcontrôleur,28,28.62,2021-01-30
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Composants d'électroniques numériques,Microprocesseur,39,6.64,2021-01-30
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Roue codeuse,50,2.31,2021-01-30
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants d'électroniques analogiques,Résistance,30,22.5,2021-01-31
Valentin Giga Elec Plus,91 rue Rodriguez,82255 Sainte Isabelle-la-Forêt,Composants d'électroniques numériques,Microcontrôleur,41,28.62,2021-01-31
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Quartz,36,15.99,2021-01-31
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Afficheur,32,26.28,2021-01-31
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Thermistance,23,20.86,2021-01-31
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants servant d'interface humaine,Buzzer,8,31.83,2021-01-31
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques analogiques,Photocoupleur,30,10.08,2021-01-31
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants d'électroniques numériques,Microcontrôleur,8,28.62,2021-01-31
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur de luminosité,10,13.92,2021-01-31
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Opto-coupleur,23,31.17,2021-01-31
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Microphone,40,11.89,2021-02-01
Bouvet Top Elec Composants,237 avenue Marguerite Renault,37633 Sainte Alexandriadan,Composants d'électroniques numériques,Microcontrôleur,40,28.62,2021-02-01
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Capteur de luminosité,6,13.92,2021-02-01
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques numériques,Microprocesseur,49,6.51,2021-02-01
Gosselin Giga Dépanneur Pro,22 boulevard Danielle Bonnin,45599 Saint Jacques,Composants servant d'interface humaine,Afficheur,46,27.35,2021-02-01
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques numériques,Opto-coupleur,42,31.79,2021-02-01
Marechal Appolo Électricité Composants,4 rue de Perrot,79006 Tessier,Composants servant d'interface humaine,Haut-parleur,34,15.14,2021-02-01
Gosselin Confiance Électricité Composants,31 chemin de Benard,24506 Gilles,Composants servant d'interface humaine,LED,43,4.07,2021-02-01
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants d'électroniques analogiques,Inductance,8,12.05,2021-02-02
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants d'électroniques numériques,Quartz,31,15.99,2021-02-02
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Caméra,15,26.85,2021-02-02
Valentin Giga Elec Plus,91 rue Rodriguez,82255 Sainte Isabelle-la-Forêt,Capteur,Gyroscope,23,10.62,2021-02-02
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants d'électroniques numériques,Microprocesseur,44,6.64,2021-02-02
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Capteur,Capteur de température,15,26.41,2021-02-02
Lagarde Plate-forme Dépanneur Spécialiste,4 rue de Michaud,33414 VoisinBourg,Composants servant d'interface humaine,Interrupteur,26,9.58,2021-02-02
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Commutateur,29,2.53,2021-02-02
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Capteur de champ magnétique,9,14.98,2021-02-03
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants servant d'interface humaine,Haut-parleur,17,14.84,2021-02-03
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Roue codeuse,9,2.31,2021-02-03
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Capteur optique,1,14.79,2021-02-03
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Interrupteur,31,9.21,2021-02-03
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de pression,5,12.1,2021-02-03
Marty Excel Dépanneur ++,12 rue de Rossi,93121 Sainte YvesBourg,Capteur,Capteur de température,14,26.41,2021-02-03
Devaux Excel Elec Plus,95 avenue Lacombe,39349 Dias-sur-Martel,Composants d'électroniques numériques,Microprocesseur,13,6.64,2021-02-03
Lucas Appolo Dépanneur Pro,36 chemin Laure Mace,46414 Chauveau,Composants servant d'interface humaine,Commutateur,46,2.53,2021-02-03
Carlier Plate-forme Elec Plus,95 rue Jean Baudry,16428 Bouvet,Composants d'électroniques numériques,Microcontrôleur,24,28.62,2021-02-03
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants servant d'interface humaine,Commutateur,7,2.53,2021-02-04
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques analogiques,Condensateur,31,33.64,2021-02-04
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Condensateur,14,33.64,2021-02-04
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Capteur,Capteur optique,19,14.79,2021-02-04
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Buzzer,28,31.83,2021-02-04
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Composants servant d'interface humaine,Haut-parleur,5,15.14,2021-02-04
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants servant d'interface humaine,Commutateur,20,2.53,2021-02-04
Blin Appolo Elec 2000,47 chemin Didier,39292 Barthelemy,Composants servant d'interface humaine,LED,48,3.83,2021-02-05
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Haut-parleur,26,13.98,2021-02-05
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Composants servant d'interface humaine,Roue codeuse,38,2.41,2021-02-05
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants servant d'interface humaine,Commutateur,22,2.53,2021-02-05
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Roue codeuse,1,2.31,2021-02-05
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Composants d'électroniques analogiques,Memristor,7,25.42,2021-02-05
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Haut-parleur,39,13.98,2021-02-05
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Capteur,Capteur de champ magnétique,28,15.28,2021-02-05
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques numériques,Opto-coupleur,40,31.17,2021-02-05
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Microcontrôleur,24,28.06,2021-02-05
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Capteur,Capteur de luminosité,31,,2021-02-06
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microprocesseur,29,6.38,2021-02-06
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants d'électroniques numériques,Quartz,39,16.64,2021-02-06
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,LED,49,3.61,2021-02-06
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Afficheur,11,26.28,2021-02-06
Dupuis Plate-forme Elec Spécialiste,68 boulevard Lecomte,46550 Voisin,Composants d'électroniques numériques,Mémoire informatique,5,26.23,2021-02-06
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants servant d'interface humaine,Roue codeuse,28,2.41,2021-02-06
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Composants servant d'interface humaine,Roue codeuse,8,,2021-02-06
Samson Giga Dépanneur Pro,67 rue Aurore Albert,86954 Royer-sur-Dijoux,Composants d'électroniques numériques,Microcontrôleur,36,,2021-02-06
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques numériques,Opto-coupleur,50,31.79,2021-02-06
Ferrand Excel Dépanneur 2000,3 rue Camille De Sousa,11239 Da Costa,Composants servant d'interface humaine,Interrupteur,42,9.77,2021-02-07
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants d'électroniques numériques,Quartz,50,16.31,2021-02-07
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Microcontrôleur,41,28.06,2021-02-07
Pineau Appolo Dépanneur Pièces,15 rue de Bonnet,56641 Pages,Composants servant d'interface humaine,Potentiomètre,46,8.29,2021-02-07
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques analogiques,Diode,3,24.02,2021-02-07
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Capteur,Thermistance,44,20.86,2021-02-07
Dupuis Plate-forme Elec Spécialiste,68 boulevard Lecomte,46550 Voisin,Capteur,Capteur de champ magnétique,26,15.28,2021-02-07
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques analogiques,Condensateur,23,33.64,2021-02-07
Daniel Confiance Électricité Spécialiste,81 avenue Pauline Marchal,16957 Saint Augustin,Composants servant d'interface humaine,Potentiomètre,50,8.29,2021-02-08
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,46,13.98,2021-02-08
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Potentiomètre,48,7.66,2021-02-08
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Afficheur,20,26.28,2021-02-09
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Composants servant d'interface humaine,Commutateur,49,2.53,2021-02-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,14,20.69,2021-02-09
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques analogiques,Transistor,15,33.63,2021-02-09
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Capteur,Capteur optique,6,14.79,2021-02-09
Valentin Giga Elec Plus,91 rue Rodriguez,82255 Sainte Isabelle-la-Forêt,Composants d'électroniques numériques,Opto-coupleur,24,34.41,2021-02-09
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Résistance,36,22.5,2021-02-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,33,15.99,2021-02-09
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants servant d'interface humaine,Commutateur,4,2.53,2021-02-09
Menard Top Dépanneur 2000,637 rue Grenier,98112 Mary-sur-Lacroix,Capteur,Microphone,11,13.13,2021-02-10
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Capteur,Accéléromètre,16,11.15,2021-02-10
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Opto-coupleur,2,31.17,2021-02-10
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,LED,28,3.61,2021-02-10
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Composants d'électroniques analogiques,Photocoupleur,12,10.28,2021-02-10
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants servant d'interface humaine,Interrupteur,49,9.39,2021-02-10
Gosselin Top Électricité Spécialiste,887 avenue Stéphanie Devaux,89717 Valléedan,Capteur,Microphone,4,13.13,2021-02-10
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Capteur,Capteur optique,36,14.79,2021-02-10
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants d'électroniques numériques,Mémoire informatique,21,23.77,2021-02-10
Adam Excel Dépanneur Pièces,50 rue Gomes,76608 Hoareau,Composants servant d'interface humaine,Haut-parleur,18,15.14,2021-02-11
Samson Appolo Dépanneur 2000,3 boulevard Bouvet,25566 Charpentier,Composants d'électroniques analogiques,Inductance,13,12.29,2021-02-11
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Buzzer,20,31.83,2021-02-11
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,19,3.47,2021-02-11
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Composants d'électroniques numériques,Microcontrôleur,24,28.62,2021-02-11
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Commutateur,5,2.48,2021-02-11
Rossi Confiance Dépanneur Plus,703 rue Alexandrie Guichard,61750 Jacob,Capteur,Capteur de luminosité,1,13.92,2021-02-12
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques numériques,Microcontrôleur,48,28.62,2021-02-12
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Capteur,Capteur de pression,16,12.1,2021-02-12
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Composants d'électroniques numériques,Quartz,19,16.64,2021-02-12
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Quartz,14,15.99,2021-02-12
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants d'électroniques numériques,Quartz,30,15.99,2021-02-12
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Microcontrôleur,40,28.06,2021-02-12
Ferrand Excel Elec Spécialiste,91 boulevard Lorraine Rivière,87871 Morin,Composants servant d'interface humaine,Buzzer,23,32.47,2021-02-13
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants d'électroniques numériques,Mémoire informatique,36,24.25,2021-02-13
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants d'électroniques numériques,Opto-coupleur,19,33.74,2021-02-13
Blin Plate-forme Dépanneur ++,99 rue Adrien Raynaud,51487 Gomes-sur-Foucher,Composants servant d'interface humaine,Interrupteur,43,9.77,2021-02-13
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Microprocesseur,24,6.38,2021-02-13
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Capteur,Thermistance,42,,2021-02-13
Samson Appolo Dépanneur 2000,3 boulevard Bouvet,25566 Charpentier,Capteur,Accéléromètre,7,11.15,2021-02-13
Lagarde Top Électricité Pro,9 rue Michelle Teixeira,77507 RaymondBourg,Composants d'électroniques analogiques,Diode,46,24.02,2021-02-13
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Mémoire informatique,35,21.95,2021-02-13
Dupuis Plate-forme Elec Spécialiste,68 boulevard Lecomte,46550 Voisin,Composants d'électroniques numériques,Microcontrôleur,20,28.62,2021-02-13
Renard Confiance Électricité Pro,796 rue Garcia,60999 Andre,Composants d'électroniques analogiques,Memristor,16,25.42,2021-02-13
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Composants servant d'interface humaine,Haut-parleur,23,15.14,2021-02-13
Bouvet Top Elec Composants,237 avenue Marguerite Renault,37633 Sainte Alexandriadan,Composants d'électroniques analogiques,Diode,33,24.02,2021-02-13
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Capteur,Capteur optique,36,14.79,2021-02-13
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,Haut-parleur,23,14.84,2021-02-13
Devaux Excel Elec Plus,95 avenue Lacombe,39349 Dias-sur-Martel,Composants servant d'interface humaine,Commutateur,11,2.53,2021-02-13
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants d'électroniques analogiques,Photocoupleur,48,10.28,2021-02-13
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Capteur,Thermistance,36,20.86,2021-02-14
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,46,20.69,2021-02-14
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants d'électroniques numériques,Microcontrôleur,44,28.06,2021-02-14
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Capteur,Capteur de luminosité,50,13.92,2021-02-14
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Roue codeuse,24,2.31,2021-02-14
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants servant d'interface humaine,Roue codeuse,32,2.31,2021-02-14
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,LED,4,3.61,2021-02-14
